date,wins_in_1,wins_in_2,wins_in_3,wins_in_4,wins_in_5,wins_in_6,3,4,5,6
2/22/2022,0,475,1880,3038,3452,3582,1405,1158,414,130
1/19/2022,0,379,1388,2208,2571,2693,1009,820,363,122
2/1/2022,0,906,3333,5447,6436,6791,2427,2114,989,355
2/2/2022,0,767,2709,4628,5592,5980,1942,1919,964,388
2/27/2022,0,695,3208,5736,6909,7356,2513,2528,1173,447
1/15/2022,0,222,1117,2177,2665,2829,895,1060,488,164
2/28/2022,0,579,2777,5421,6724,7131,2198,2644,1303,407
1/17/2022,0,191,974,1792,2204,2392,783,818,412,188
1/21/2022,0,457,2404,4467,5653,6066,1947,2063,1186,413
2/4/2022,0,685,2675,4753,6069,6637,1990,2078,1316,568
1/27/2022,0,561,2562,4943,6256,6721,2001,2381,1313,465
1/31/2022,0,685,2483,4272,5454,6078,1798,1789,1182,624
1/20/2022,0,246,1120,2137,2713,2937,874,1017,576,224
1/16/2022,0,194,1094,2105,2667,2882,900,1011,562,215
1/29/2022,0,438,2523,5030,6432,6887,2085,2507,1402,455
1/23/2022,0,169,1172,2551,3279,3464,1003,1379,728,185
2/21/2022,0,328,1289,2411,3175,3505,961,1122,764,330
2/13/2022,0,310,1689,3436,4596,5015,1379,1747,1160,419
2/10/2022,0,786,3297,6692,8941,10004,2511,3395,2249,1063
2/26/2022,0,304,1946,4108,5505,6115,1642,2162,1397,610
1/25/2022,0,387,2007,4383,5988,6621,1620,2376,1605,633
2/15/2022,0,352,2131,4508,6075,6806,1779,2377,1567,731
2/8/2022,0,664,2082,3708,5273,6194,1418,1626,1565,921
2/3/2022,0,443,2042,4064,5664,6463,1599,2022,1600,799
1/26/2022,0,273,1793,4409,6009,6610,1520,2616,1600,601
2/12/2022,0,399,1981,4530,6317,7048,1582,2549,1787,731
2/24/2022,0,474,2070,4478,6252,7076,1596,2408,1774,824
2/5/2022,0,359,2185,5007,6973,7782,1826,2822,1966,809
2/9/2022,0,289,1712,4029,5712,6459,1423,2317,1683,747
2/20/2022,0,137,890,2041,2913,3312,753,1151,872,399
2/16/2022,0,156,892,1947,2719,3198,736,1055,772,479
1/30/2022,0,123,1419,4318,6167,6860,1296,2899,1849,693
1/22/2022,0,100,663,1689,2524,2941,563,1026,835,417
2/17/2022,0,207,760,1487,2198,2762,553,727,711,564
2/6/2022,0,87,718,1906,2839,3307,631,1188,933,468
2/11/2022,0,381,2210,5486,8608,10115,1829,3276,3122,1507
1/28/2022,0,595,3465,8531,13097,15698,2870,5066,4566,2601
2/23/2022,0,305,1532,3326,4934,6186,1227,1794,1608,1252
2/18/2022,0,96,633,1708,2766,3337,537,1075,1058,571
2/14/2022,0,110,834,3069,5345,6384,724,2235,2276,1039
2/7/2022,0,194,1131,2887,4940,6428,937,1756,2053,1488
1/24/2022,0,38,378,1293,2321,2896,340,915,1028,575
1/18/2022,0,51,309,936,1631,2110,258,627,695,479
2/25/2022,0,242,1219,3861,7032,9013,977,2642,3171,1981
2/19/2022,0,43,344,1024,2045,2919,301,680,1021,874