date,wins_in_1,wins_in_2,wins_in_3,wins_in_4,wins_in_5,wins_in_6
1/15/2022,0,222,895,1060,488,164
1/16/2022,0,194,900,1011,562,215
1/17/2022,0,191,783,818,412,188
1/18/2022,0,51,258,627,695,479
1/19/2022,0,379,1009,820,363,122
1/20/2022,0,246,874,1017,576,224
1/21/2022,0,457,1947,2063,1186,413
1/22/2022,0,100,563,1026,835,417
1/23/2022,0,169,1003,1379,728,185
1/24/2022,0,38,340,915,1028,575
1/25/2022,0,387,1620,2376,1605,633
1/26/2022,0,273,1520,2616,1600,601
1/27/2022,0,561,2001,2381,1313,465
1/28/2022,0,595,2870,5066,4566,2601
1/29/2022,0,438,2085,2507,1402,455
1/30/2022,0,123,1296,2899,1849,693
1/31/2022,0,685,1798,1789,1182,624
2/1/2022,0,906,2427,2114,989,355
2/2/2022,0,767,1942,1919,964,388
2/3/2022,0,443,1599,2022,1600,799
2/4/2022,0,685,1990,2078,1316,568
2/5/2022,0,359,1826,2822,1966,809
2/6/2022,0,87,631,1188,933,468
2/7/2022,0,194,937,1756,2053,1488
2/8/2022,0,664,1418,1626,1565,921
2/9/2022,0,289,1423,2317,1683,747
2/10/2022,0,786,2511,3395,2249,1063
2/11/2022,0,381,1829,3276,3122,1507
2/12/2022,0,399,1582,2549,1787,731
2/13/2022,0,310,1379,1747,1160,419
2/14/2022,0,110,724,2235,2276,1039
2/15/2022,0,352,1779,2377,1567,731
2/16/2022,0,156,736,1055,772,479
2/17/2022,0,207,553,727,711,564
2/18/2022,0,96,537,1075,1058,571
2/19/2022,0,43,301,680,1021,874
2/20/2022,0,137,753,1151,872,399
2/21/2022,0,328,961,1122,764,330
2/22/2022,0,475,1405,1158,414,130
2/23/2022,0,305,1227,1794,1608,1252
2/24/2022,0,474,1596,2408,1774,824
2/25/2022,0,242,977,2642,3171,1981
2/26/2022,0,304,1642,2162,1397,610
2/27/2022,0,695,2513,2528,1173,447
2/28/2022,0,579,2198,2644,1303,407